Press(mmHg);Volum(cm3);dV
2.249;3.923;0.002
3.128;4.027;0.002
4.141;4.119;0.002
5.260;4.198;0.002
6.283;4.255;0.002
7.322;4.304;0.002
8.085;4.337;0.002
8.852;4.367;0.002
9.502;4.390;0.002
10.147;4.412;0.002
10.600;4.426;0.002
13.489;4.506;0.002
18.386;4.607;0.002
25.901;4.714;0.002
37.572;4.823;0.002
69.569;4.977;0.002
101.028;5.058;0.002
136.495;5.114;0.002
169.292;5.149;0.002
202.664;5.181;0.002
232.780;5.202;0.002
249.828;5.214;0.002
262.000;5.223;0.002
279.470;5.229;0.002
294.051;5.242;0.002
307.033;5.249;0.002
323.427;5.258;0.002
336.019;5.265;0.002
350.707;5.269;0.002
364.660;5.277;0.002
378.436;5.282;0.002
392.350;5.293;0.002
407.385;5.295;0.002
429.725;5.304;0.002
454.518;5.318;0.002
469.658;5.325;0.002
499.801;5.339;0.002
512.996;5.344;0.002
542.904;5.355;0.002
573.707;5.360;0.002
587.457;5.374;0.002
601.729;5.379;0.002
618.095;5.384;0.002
630.625;5.397;0.002
644.476;5.402;0.002
659.718;5.418;0.002
674.869;5.431;0.002
689.237;5.444;0.002
701.340;5.469;0.002
717.477;5.489;0.002
729.628;5.555;0.002
713.911;5.524;0.002
690.516;5.488;0.002
679.010;5.465;0.002
661.727;5.455;0.002
645.547;5.440;0.002
627.023;5.429;0.002
612.777;5.423;0.002
594.183;5.416;0.002
578.414;5.410;0.002
559.441;5.404;0.002
541.929;5.397;0.002
524.454;5.395;0.002
509.639;5.389;0.002
491.092;5.381;0.002
472.605;5.378;0.002
453.334;5.370;0.002
439.078;5.365;0.002
424.273;5.361;0.002
407.412;5.353;0.002
395.452;5.348;0.002
389.377;5.347;0.002
375.446;5.342;0.002
371.049;5.338;0.002
367.292;5.337;0.002
361.291;5.334;0.002
356.335;5.330;0.002
352.807;5.330;0.002
346.124;5.327;0.002
340.587;5.323;0.002
316.850;5.312;0.002
305.323;5.306;0.002
292.841;5.296;0.002
276.853;5.289;0.002
258.654;5.278;0.002
243.284;5.266;0.002
224.631;5.252;0.002
208.878;5.240;0.002
191.765;5.225;0.002
169.382;5.202;0.002
158.004;5.187;0.002
142.437;5.168;0.002
123.033;5.139;0.002
103.410;5.101;0.002
91.862;5.076;0.002
69.628;5.011;0.002
67.826;5.005;0.002
64.592;4.992;0.002
59.859;4.973;0.002
55.335;4.953;0.002
53.661;4.944;0.002
41.515;4.876;0.002
30.308;4.785;0.002
22.271;4.687;0.002
8.623;4.366;0.002
6.299;4.259;0.002
4.919;4.177;0.002
4.045;4.111;0.002
3.421;4.056;0.002
2.979;4.011;0.002
2.648;3.971;0.002
2.382;3.938;0.002
2.185;3.908;0.002
2.019;3.881;0.002
1.886;3.858;0.002
